ID,DINERO_EN_CAJA,TIPO_DE_CAMBIO,INICIO_USUARIO_ID,INICIO_EN,CERRO_EN,CAJA_ID,ABIERTA,VENTAS,SALIDAS,ENTRADAS,PAGOS,IMPUESTOS,GANANCIAS,ABONO_ID,INGRESOS_TARJETA,INGRESOS_VALES,INGRESOS_EFECTIVO
5,1,0,7,2020-08-04,2020-08-04 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
6,1,0,7,2020-08-05,2020-08-05 23:59:59,1,f,950,0,0,0,0,0,NULL,0,0,950
7,30000,0,7,2020-08-07,2020-08-07 23:59:59,1,f,2400,0,0,0,0,0,NULL,0,0,2400
8,50000,0,7,2020-08-12,2020-08-12 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
9,50000,0,7,2020-08-13,2020-08-13 23:59:59,1,f,0,3350,0,0,0,0,NULL,0,0,0
10,0,550,7,2020-08-15,2020-08-15 23:59:59,1,f,17045,125000,0,0,0,0,NULL,0,0,17045
11,0,0,7,2020-08-16,2020-08-16 23:59:59,1,f,5670,0,0,0,0,0,NULL,0,0,5670
12,0,0,7,2020-08-21,2020-08-21 23:59:59,1,f,0,22715,0,0,0,0,NULL,0,0,0
13,0,0,7,2020-08-22,2020-08-22 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
14,0,0,7,2020-08-23,2020-08-23 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
15,0,0,7,2020-08-24,2020-08-24 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
16,0,0,7,2020-08-25,2020-08-25 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
17,0,0,7,2020-08-26,2020-08-26 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
18,0,0,7,2020-08-27,2020-08-27 23:59:59,1,f,0,0,0,0,0,0,NULL,0,0,0
19,80000,0,7,2020-08-28,2020-08-28 23:59:59,1,f,312835,5200,0,0,0,62524,NULL,1255,0,311580
20,80000,0,7,2020-08-29,2020-08-29 23:59:59,1,f,264575,0,0,0,0,53543,NULL,2500,0,262075
21,80000,0,7,2020-08-30,2020-08-30 23:59:59,1,f,229718,0,0,0,0,48508,NULL,3960,0,225758
22,80000,0,7,2020-08-31,2020-08-31 23:59:59,1,f,204271,0,0,0,0,39704,NULL,5180,0,199091
23,80000,0,7,2020-09-01,2020-09-01 23:59:59,1,f,154175,0,0,0,0,32301,NULL,4930,0,149245
24,80000,0,7,2020-09-02,2020-09-02 23:59:59,1,f,206712,38240,0,73208,0,39350,NULL,1175,0,205537
25,80000,0,7,2020-09-03,2020-09-03 23:59:59,1,f,194525,3000,9140,9140,0,40384,NULL,11920,0,182605
26,80,575,7,2020-09-04,2020-09-04 23:59:59,1,f,230835,65760,0,0,0,47171,NULL,0,0,230835
27,0,0,7,2020-09-05,2020-09-05 23:59:59,1,f,437928,2000,0,16250,0,82898,NULL,8250,0,429678
28,80000,0,7,2020-09-06,2020-09-06 23:59:59,1,f,482100,0,0,0,0,95633,NULL,0,0,482100
29,80000,0,7,2020-09-07,2020-09-07 23:59:59,1,f,181303,23200,0,10670,0,36444,NULL,16170,0,165133
30,0,0,7,2020-09-08,2020-09-08 23:59:59,1,f,197300,0,0,9200,0,42529,NULL,2815,0,194485
32,0,0,7,2020-09-10,2020-09-10 23:59:59,1,f,146020,0,0,3200,0,28513,NULL,6300,0,139720
31,0,0,7,2020-09-09,2020-09-09 23:59:59,1,f,224575,14900,14900,5185,0,46612,NULL,6550,0,218025
33,80000,0,7,2020-09-11,2020-09-11 23:59:59,1,f,259870,67520,67520,0,0,55080,NULL,3800,0,256070
