CODIGO,DESCRIPCION,TVENTA,PCOSTO,PVENTA,DEPT,PROVID,UMEDIDA,MAYOREO,IPRIORIDAD,DINVENTARIO,DINVMINIMO,DINVMAXIMO,CHECADO_EN,PORCENTAJE_GANANCIA,COMPONENTES,IMPUESTOS
7441047001026,Arroz Liborio 99 % 1.8 Kg,U,1438,1555,2,0,1702968,0,NULL,14,6,NULL,2021-02-03,0,,
7441047001033,Arroz Liborio 99 % 4 Kg,U,3227,3495,2,0,1702968,0,NULL,2,3,NULL,2021-02-16,0,,
7441047009961,Arroz Liborio 99% 6 Kg ,U,4892,5285,2,0,1702968,0,NULL,0,2,NULL,2020-11-11,0,,
7441047000968,Arroz Liborio 80% 10 Kg,U,5845,6355,2,0,1702968,0,NULL,0,1,NULL,2020-12-08,0,,
7441047000050,Arroz Liborio 80% 1.8 Kg,U,1041,1155,2,0,1702968,0,NULL,10,8,NULL,2021-02-03,0,,
7441006022390,Arroz Tio Pelon 99% 1.8 Kg,U,1430,1595,2,0,1702968,0,NULL,3,4,NULL,2021-02-02,0,,
7441006011165,Arroz Tio Pelon 80% 1.8 Kg,U,1030,1125,2,0,1702968,0,NULL,19,3,NULL,2021-02-02,0,,
7441007900116,Arroz Sabanero Precocido 96% 1 Kg,U,667,810,2,0,1702968,0,NULL,2,3,NULL,2021-02-08,0,,
7443005850462,Arroz Halcon Precocido 96% 900 G,U,776,850,2,0,1702968,0,NULL,6,3,NULL,2021-02-13,0,,
7441042699624,Azucar Doña Maria 2 Kg,U,1257,1425,2,0,1702968,0,NULL,70,18,NULL,2021-02-03,0,,
7441042699631,Azucar Doña Maria 1 Kg,U,638,725,2,0,1702968,0,NULL,38,10,NULL,2021-02-03,0,,
7441042600002,Azucar Crudo Zucra 2 Kg,U,1793,1985,2,0,1702968,0,NULL,6,3,NULL,2021-01-19,0,,
7441028201018,Frijotico Negro 900 G,U,1028,1140,2,0,1702968,0,NULL,5,3,NULL,2021-02-09,0,,
7441028201025,Frijotico Rojo 900 G,U,1120,1295,2,0,1702968,0,NULL,8,3,NULL,2020-12-25,0,,
7441070500251,Frijoles Rojos Don Manuel,U,977,1200,2,0,1702968,0,NULL,4,3,NULL,2021-02-16,0,,
7441070500244,Frijoles Negros Don Manuel,U,900,1025,2,0,1702968,0,NULL,4,5,NULL,2021-02-03,0,,
722304477868,Alimento Para Gatos Don Gato 0.454kg,U,685,825,2,0,1702968,0,NULL,46,18,NULL,2021-01-15,0,,
7441011054027,Alimentos Para Perros Kan Kan ,U,708,875,2,0,1702968,0,NULL,12,0,NULL,2021-02-17,0,,
7441027501478,Alimento Para Perro Precan 900 G,U,476,575,2,0,1702968,0,NULL,0,3,NULL,2021-01-07,0,,
7441096703483,Maiz Amarillo Quebrado 2 Kg ,U,693,795,2,0,1702968,0,NULL,2,2,NULL,2021-02-09,0,,
7441096704053,Maiz Amarillo Entero 2 Kg,U,688,780,2,0,1702968,0,NULL,6,2,NULL,2021-02-03,0,,
781974000370,Alimento Para Perro Rambocam 1 Kg,U,795,960,2,0,1702968,0,NULL,2,6,NULL,2021-02-17,0,,
7441011052221,Alimento Para Perros Ascan Cachorro 1 Kg ,U,1367,1640,2,0,1702968,0,NULL,12,3,NULL,2021-02-19,0,,
7441011052269,Alimento Para Perros Ascan Adulto 1 Kg,U,1207,1495,2,0,1702968,0,NULL,12,3,NULL,2021-02-19,0,,
7622300134075,Gelatina Royal Limon 40 Ml,U,214,260,2,0,1702968,0,NULL,9,6,NULL,2021-01-30,0,,
7622300134037,Gelatina Royal Fresa 40 G,U,214,260,2,0,1702968,0,NULL,9,6,NULL,2020-12-19,0,,
7622300134051,Gelatina Royal Cereza 40 G,U,214,260,2,0,1702968,0,NULL,7,6,NULL,2020-08-26,0,,
7622300718848,Gelatina Royal Fresa 80 G ,U,372,505,2,0,1702968,0,NULL,9,8,NULL,2021-01-30,0,,
7441005629538,Mezcla Para Flan Rika Vainilla Con Caramelo 65 G ,U,300,360,2,0,1702968,0,NULL,6,2,NULL,2020-10-21,0,,
7441005629507,Mezcla Para Flan Rika Vainilla 40 G,U,217,260,2,0,1702968,0,NULL,4,2,NULL,2020-11-13,0,,
7441005629514,Mezcla Para Flan Rika Coco 40 G,U,193,260,2,0,1702968,0,NULL,3,2,NULL,2021-01-07,0,,
74411832,Cigar Ches Roj Caj Dura,U,1918,2100,11,0,1702968,0,NULL,34,0,NULL,2021-02-04,0,,
74411825,Cig Chest Azu Caj Dura,U,1918,2100,11,0,1702968,0,NULL,6,0,NULL,2020-12-28,0,,
7501014511016,Lapiceros Bic,U,166,200,2,0,1702968,0,NULL,1,10,NULL,2020-10-09,0,,
7590011251100,Galleta Oreo,U,127,200,2,0,1702968,0,NULL,3,0,NULL,2021-02-19,0,,
86581006211,Galleta Maria Pozuelo,U,674,840,2,0,1702968,0,NULL,2,0,NULL,2020-12-23,0,,
7441020102344,Jalea De Guayaba Rico Rico,U,389,470,2,0,1702968,0,NULL,6,4,NULL,2021-02-13,0,,
7441008164821,Toallas Kotex Esencial Con Alas,U,644,850,2,0,1702968,0,NULL,0,3,NULL,2020-11-11,0,,
7441008164326,Toallas Kotex Esencial Sin Alas ,U,645,825,2,0,1702968,0,NULL,5,3,NULL,2020-12-16,0,,
7411000308943,Mostaza Hellmanns,U,464,560,2,0,1702968,0,NULL,6,3,NULL,2020-10-28,0,,
7441000711061,Palmito En Trozos Irazu,U,757,910,2,0,1702968,0,NULL,4,2,NULL,2020-10-22,0,,
7443010581115,Cereal Chocolatosas 900 G,U,2246,2695,2,0,1702968,0,NULL,1,2,NULL,2020-10-13,0,,
